n_iter =  2400
dt =    0.020833
Level      ,         1,         2,         3,         4,         5,         6,         7,         8,         9,        10,        11,        12,        13,        14,        15,        16,        17,        18,        19,        20,        21,        22,        23,        24,        25
P [mbar]   ,  0.050000,  0.100397,  0.101496,  0.103442,  0.106894,  0.113018,  0.123874,  0.143196,  0.173967,  0.222622,  0.302786,  0.434943,  0.652861,  1.012068,  1.604436,  2.464588,  3.460619,  4.399371,  5.222609,  5.842584,  6.213227,  6.398020,  6.468640,  6.503950,  6.516790
Temp [K]   ,   75.4485,   81.7596,   81.8756,   82.0794,   82.4359,   83.0534,   84.1054,   85.8614,   88.4110,   91.9865,   97.0549,  104.0361,  113.4445,  125.9640,  142.5915,  162.3892,  181.9997,  198.6012,  212.1711,  221.9387,  227.6267,  230.4250,  231.4883,  232.0186,  232.2113
===============================
it  ,   tau    ,  Tsfc    ,   alb    ,   OLR    ,  dn VIS  , up  VIS  ,    ASR   , NET top  , NET bot  ,  lev   01,  lev   02,  lev   03,  lev   04,  lev   05,  lev   06,  lev   07,  lev   08,  lev   09,  lev   10,  lev   11,  lev   12,  lev   13,  lev   14,  lev   15,  lev   16,  lev   17,  lev   18,  lev   19,  lev   20,  lev   21,  lev   22,  lev   23,  lev   24,  lev   25
  23,    0.0000,  231.0989,    0.2194,  143.6262,  148.3944,   32.5522,  115.8422,  -27.4126,  -29.4786,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0572,  155.9890,  169.6230,  184.1073,  195.7877,  204.5564,  210.4995,  213.8908,  215.5330,  216.1806,  216.5147,  216.6373
  24,    0.0000,  231.0489,    0.2194,  143.6306,  148.3944,   32.5522,  115.8422,  -27.4169,  -29.4694,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0613,  156.0349,  169.6393,  184.1234,  195.8052,  204.5747,  210.5182,  213.9096,  215.5517,  216.1993,  216.5329,  216.6555
  25,    0.0000,  230.9989,    0.2194,  143.3947,  148.3944,   32.5522,  115.8422,  -27.1810,  -29.1900,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0656,  156.0802,  169.6558,  184.1391,  195.8218,  204.5929,  210.5357,  213.9275,  215.5701,  216.2178,  216.5514,  216.6740
  26,    0.0000,  230.9494,    0.2194,  143.3965,  148.3944,   32.5521,  115.8422,  -27.1828,  -29.1870,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0699,  156.1256,  169.6723,  184.1548,  195.8384,  204.6104,  210.5532,  213.9454,  215.5880,  216.2350,  216.5689,  216.6914
  27,    0.0000,  230.8998,    0.2194,  143.1613,  148.3944,   32.5521,  115.8422,  -26.9475,  -28.9029,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0744,  156.1704,  169.6889,  184.1699,  195.8547,  204.6269,  210.5708,  213.9630,  215.6058,  216.2529,  216.5868,  216.7093
  28,    0.0000,  230.8508,    0.2194,  143.1627,  148.3944,   32.5521,  115.8423,  -26.9490,  -28.8962,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0790,  156.2152,  169.7055,  184.1850,  195.8708,  204.6435,  210.5879,  213.9801,  215.6220,  216.2697,  216.6036,  216.7259
  29,    0.0000,  230.8018,    0.2194,  143.1629,  148.3944,   32.5521,  115.8423,  -26.9491,  -28.8921,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0838,  156.2597,  169.7217,  184.1994,  195.8864,  204.6600,  210.6049,  213.9974,  215.6394,  216.2871,  216.6206,  216.7429
  30,    0.0000,  230.7527,    0.2194,  142.9343,  148.3944,   32.5521,  115.8423,  -26.7206,  -28.6080,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0887,  156.3042,  169.7378,  184.2139,  195.9020,  204.6764,  210.6204,  214.0144,  215.6566,  216.3043,  216.6378,  216.7601
  31,    0.0000,  230.7042,    0.2194,  142.9330,  148.3944,   32.5521,  115.8423,  -26.7192,  -28.6071,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0938,  156.3482,  169.7543,  184.2283,  195.9170,  204.6926,  210.6365,  214.0296,  215.6725,  216.3197,  216.6536,  216.7758
  32,    0.0000,  230.6556,    0.2194,  142.7002,  148.3944,   32.5521,  115.8423,  -26.4864,  -28.3317,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0989,  156.3923,  169.7708,  184.2420,  195.9317,  204.7083,  210.6526,  214.0455,  215.6888,  216.3360,  216.6698,  216.7921
